Title,Year
Before Midnight,2013
"The Good, the Bad and the Ugly",1966
Toy Story 3,2010
Thor: Ragnarok,2017
Logan,2017
The Dark Knight Rises,2012
Back to the Future Part III,1990
The Fast and the Furious: Tokyo Drift,2006
Cocoon,1985
Flight of the Navigator,1986
Starman,1984
The Thing,1982
Communion,1989
The Brother from Another Planet,1984
Close Encounters of the Third Kind,1977
Under the Skin,2013
E.T. the Extra-Terrestrial,1982
Charade,1963
Sabrina,1954
Wait Until Dark,1967
Funny Face,1957
...And Justice for All,1979
¡Three Amigos!,1986
10 Things I Hate About You,1999
100% Fresh,2018
12 Monkeys,2015
1941,1979
20 Million Miles to Earth,1957
"20,000 Leagues Under the Sea",1954
2001: A Space Odyssey,1968
2010: The Year We Make Contact,1984
21 Jump Street,2012
28 Days Later,2002
28 Weeks Later,2007
3:10 to Yuma (1957),1957
3:10 to Yuma (2007),2007
"4 Months, 3 Weeks and 2 Days",2007
42nd Street,1933
48 Hrs.,1982
50 First Dates,2004
92 in the Shade,1975
A Better Tomorrow,1986
A Boy and His Dog,1975
A Bug's Life,1998
A Christmas Carol (1984),1984
A Christmas Tale,2008
A Clockwork Orange,1971
A Dickens of a Holiday!,2021
A Face in the Crowd,1957
A Fistful of Dollars,1964
A Hard Day's Night,1964
A History of Violence,2005
A League of Their Own,1992
A Lizard in a Woman's Skin,1971
A Midnight Clear,1992
A Midsummer Nights Dream (1935),1935
A Midsummer Nights Dream (1999),1999
A Midsummer Nights Dream (1968),1968
A Nightmare on Elm Street,1984
A Nightmare on Elm Street (2010),2010
A Nightmare on Elm Street 3: Dream Warriors,1987
A Nightmare on Elm Street 4: The Dream Master,1988
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985
A Nightmare on Elm Street: The Dream Child,1989
A Painted House,2003
A Poem Is A Naked Person,1974
A Prairie Home Companion,2006
A Quiet Place,2018
A Room with a View,1985
A Separation,2011
A Serious Man,2009
A Simple Plan,1998
A Soldier's Daughter Never Cries,1998
A Star Is Born,2018
A Teacher,2020
A Time to Kill,1996
A Very Merry Mix-Up,2013
A View to a Kill,1985
A Warm December,1973
A.I. Artificial Intelligence,2001
Abbott and Costello Meet Frankenstein,1948
About a Boy,2002
About Time,2013
Ace Attorney,2016
Ace in the Hole,1951
Across the Universe,2007
Ad Astra,2019
Adaptation,2002
Adventureland,2009
After Earth,2013
After Hours,1985
After Yang,2021
Aftersun,2022
Air Force One,1997
Airplane!,1980
Akira,1988
Ali,2001
Alien,1979
Alien 3,1992
Alien vs. Predator,2004
Alien: Covenant,2017
Alien: Resurrection,1997
Aliens,1986
Aliens vs Predator: Requiem,2007
All About My Mother,1999
All is True,2018
All Monsters Attack,1969
All Night Long,1962
All Quiet on the Western Front (2022),2022
All the Beauty and the Bloodshed,2022
All the Fine Young Cannibals,1960
All the President's Men,1976
Alligator,1980
